"date","S1","S2"
2010-01-04,10.495,11.451
2010-01-05,10.5225,11.5049
2010-01-06,10.505,11.4675
2010-01-07,10.1775,11.1529
2010-01-08,10.13,11.0979
2010-01-11,10.0175,11.0143
2010-01-12,9.695,10.7074
2010-01-13,9.835,10.8603
2010-01-14,9.685,10.736
2010-01-15,9.74,10.5457
2010-01-19,9.635,10.4863
2010-01-20,9.5,10.3191
2010-01-21,9.54,10.395
2010-01-22,9.515,10.3389
2010-01-25,9.405,10.241
2010-01-26,9.475,10.3675
2010-01-27,9.29,10.1838
2010-01-28,9.3175,10.1717
2010-01-29,9.14,10.0001
2010-02-01,9.0975,9.9605
2010-02-02,9.255,10.1409
2010-02-03,9.08,9.9748
2010-02-04,9.14,10.0595
2010-02-05,9.135,10.032
2010-02-08,9.295,10.2113
2010-02-09,9.245,10.175
2010-02-10,9.375,10.2905
2010-02-11,9.43,10.2982
2010-02-12,9.45,10.3224
2010-02-16,9.655,10.5303
2010-02-17,9.515,10.4093
2010-02-18,9.48,10.3202
2010-02-19,9.45,10.318
2010-02-22,9.615,10.4687
2010-02-23,9.525,10.3653
2010-02-24,9.555,10.3873
2010-02-25,9.415,10.2245
2010-02-26,9.51,10.3323
2010-03-01,9.525,10.307
2010-03-02,9.5425,10.3301
2010-03-03,9.545,10.2652
2010-03-04,9.325,10.0331
2010-03-05,9.3475,10.043
2010-03-08,9.405,10.1035
2010-03-09,9.415,10.0947
2010-03-10,9.52,10.1673
2010-03-11,9.255,9.8714
2010-03-12,9.26,9.8219
2010-03-15,9.3,9.9297
2010-03-16,9.45,10.0837
2010-03-17,9.59,10.2641
2010-03-18,9.595,10.2553
2010-03-19,9.6175,10.2674
2010-03-22,9.685,10.34
2010-03-23,9.68,10.3312
2010-03-24,9.6,10.2586
2010-03-25,9.425,10.1068
2010-03-26,9.52,10.2443
2010-03-29,9.675,10.4115
2010-03-30,9.74,10.4819
2010-03-31,9.41,10.0617
2010-04-01,9.42,10.1376
2010-04-05,9.36,10.0749
2010-04-06,9.445,10.1629
2010-04-07,9.525,10.2465
2010-04-08,9.465,10.1684
2010-04-09,9.5225,10.241
2010-04-12,9.6,10.3257
2010-04-13,9.68,10.4258
2010-04-14,9.69,10.4192
2010-04-15,9.84,10.6095
2010-04-16,9.8525,10.5578
2010-04-19,9.7675,10.5281
2010-04-20,9.84,10.6227
2010-04-21,9.955,10.725
2010-04-22,10.0425,10.8031
2010-04-23,10,10.7591
2010-04-26,9.9875,10.8031
2010-04-27,9.8275,10.6172
2010-04-28,9.8275,10.5886
2010-04-29,9.8575,10.5908
2010-04-30,9.895,10.6524
2010-05-03,9.7575,10.4709
2010-05-04,9.77,10.5006
2010-05-05,9.6825,10.4038
2010-05-06,9.455,10.2388
2010-05-07,9.5125,10.2751
2010-05-10,9.5275,10.3114
2010-05-11,9.5825,10.3939
